"[""It's Good"", 'Lil Wayne Featuring Drake & Jadakiss']"
"['More Than That', 'Backstreet Boys']"
"['Blame It On Me', 'Post Malone']"
"['Cover You In Kisses', 'John Michael Montgomery']"
"['Rockabye', 'Clean Bandit Featuring Sean Paul & Anne-Marie']"
"['This House', 'Tracie Spencer']"
"[""Here's To The Night"", 'Eve 6']"
"['Brave', 'Sara Bareilles']"
"['Defying Gravity', 'Glee Cast']"
"['Incarcerated Scarfaces/Ice Cream', 'Raekwon']"
"[""I'm Sorry"", 'Adam Wakefield']"
"[""Drop It Like It's Hot"", 'Snoop Dogg Featuring Pharrell']"
"[""Runnin'"", '2Pac, Notorious B.I.G., Radio, Dramacydal & Stretch']"
"['Smooth', 'Santana Featuring Rob Thomas']"
"['Beautiful Day', 'Lee DeWyze']"
"['Something Big', 'Shawn Mendes']"
"['Shine', 'Collective Soul']"
"['The Kill (Bury Me)', 'Thirty Seconds To Mars']"
"['Neighbors Know My Name', 'Trey Songz']"
"['I Look To You', 'Whitney Houston']"
"['Nicety', ""Michel'le""]"
"['Let Me Down Slowly', 'Alec Benjamin Featuring Alessia Cara']"
"['4:00 AM', 'Melanie Fiona']"
"['Moving Mountains', 'Usher']"
"['All Around The World', 'Justin Bieber Featuring Ludacris']"
"['Telephone', 'Glee Cast']"
"['Rump Shaker', 'Wreckx-N-Effect']"
"['Kissin U', 'Miranda Cosgrove']"
"[""Sittin' On Chrome"", 'Masta Ace Incorporated']"
"['All Shook Up (From ""Honeymoon In Vegas"")', 'Billy Joel']"
"[""Can't Help But Wait"", 'Trey Songz']"
"['Do You', 'Funkmaster Flex Featuring DMX']"
"['Slow Motion', 'Trey Songz']"
"['You Are The One', 'Chris Cuevas']"
"['Fat Lip', 'Sum 41']"
"['Notion', 'Kings Of Leon']"
"['Find Your Love', 'Drake']"
"[""Mama, I'm Coming Home"", 'Ozzy Osbourne']"
"['Hey Leonardo (She Likes Me For Me)', 'Blessid Union Of Souls']"
"['Shut Up And Kiss Me', 'Mary Chapin Carpenter']"
"['Stranger In My House', 'Tamia']"
"['Please Remember Me', 'Danielle Bradbery']"
"['Funky Y-2-C', 'The Puppies']"
"['Talk That Talk', 'Rihanna Featuring Jay-Z']"
"[""That's The Way Love Goes"", 'Janet Jackson']"
"['So What', 'P!nk']"
"['There Goes My Baby', 'Usher']"
"['Let It Be', 'Kris Allen']"
"[""I'm Real"", 'Kris Kross']"
"['Obsession (No Es Amor)', 'Frankie J Featuring Baby Bash']"
"['Butterfly Kisses', 'Raybon Bros.']"
"['Give It 2 U', 'Robin Thicke Featuring Kendrick Lamar']"
"[""'98 Thug Paradise"", 'Tragedy, Capone, Infinite']"
"['Work It', 'Missy ""Misdemeanor"" Elliott']"
"['Because I Got High', 'Afroman']"
"['No Surprise', 'Daughtry']"
"['This Feeling', 'The Chainsmokers Featuring Kelsea Ballerini']"
"['Dangerous', 'Meek Mill Featuring Jeremih & PnB Rock']"
"['E-Bow The Letter', 'R.E.M.']"
"['Cry Baby/Piece Of My Heart', 'Melissa Etheridge & Joss Stone']"
"['Think', 'Information Society']"
"['Wait For You', 'Bonham']"
"['Keg In The Closet', 'Kenny Chesney']"
"['Burn Slow', 'Wiz Khalifa Featuring Rae Sremmurd']"
"['I Adore Mi Amor', 'Color Me Badd']"
"['Invasion Of The Flat Booty B*****s', 'Too $hort']"
"['Stop! In The Name Of Love / Free Your Mind', 'Glee Cast']"
"['Halfway There', 'Big Time Rush']"
"[""Doesn't Mean Anything"", 'Alicia Keys']"
"['Theme From Mission: Impossible (From ""Mission: Impossible"")', 'Adam Clayton & Larry Mullen']"
"['Feels So Good (Show Me Your Love)', 'Lina Santiago']"
