"['Praise You', 'Fatboy Slim']"
"['Take A Bow', 'Rihanna']"
"['The Story Of Us', 'Taylor Swift']"
"[""Don't Think I Don't Think About It"", 'Darius Rucker']"
"['In The Heart Of A Woman', 'Billy Ray Cyrus']"
"['Dibs', 'Kelsea Ballerini']"
"['Guys Like Me', 'Eric Church']"
"['When The Last Time', 'Clipse']"
"['Redemption Song', 'Rihanna']"
"[""Don't Forget To Remember Me"", 'Carrie Underwood']"
"['Make It Rain', 'Travis Porter']"
"['Old Times\' Sake (From ""Above The Rim"")', 'Sweet Sable']"
"['Love Your Love The Most', 'Eric Church']"
"['Bubbly', 'Colbie Caillat']"
"[""You're Welcome"", 'Dwayne Johnson']"
"['Untitled (How Can This Happen To Me?)', 'Simple Plan']"
"['Pink', 'Aerosmith']"
"['Love More', 'Chris Brown Featuring Nicki Minaj']"
"['Heart Of Stone', 'Cher']"
"['The Diary Of Jane', 'Breaking Benjamin']"
"['Beware', 'Big Sean Featuring Lil Wayne & Jhene Aiko']"
"[""Runnin' (Lose It All)"", 'Naughty Boy Featuring Beyonce & Arrow Benjamin']"
"['Never Ever', 'All Saints']"
"['Got My Country On', 'Chris Cagle']"
"['My Baby Daddy', 'B-Rock & The Bizz']"
"['People Everyday', 'Arrested Development']"
"['New Flame', 'Chris Brown Featuring Usher & Rick Ross']"
"['Smoke A Little Smoke', 'Eric Church']"
"['You Let Your Heart Go Too Fast', 'Spin Doctors']"
"['No Such Thing As A Broken Heart', 'Old Dominion']"
"['Butterfly Doors', 'Lil Pump']"
"['I Believe', 'Fantasia']"
"['Into You', 'Ariana Grande']"
"['Slow Hands', 'Niall Horan']"
"['My Way', 'Usher']"
"['Baby Boy', 'Beyonce Featuring Sean Paul']"
"['One More Time', 'Daft Punk']"
"['Whutcha Want?', 'Nine']"
"['Bust Your Windows', 'Jazmine Sullivan']"
"['So Alone', 'Men At Large']"
"['Family Affair', 'Mary J. Blige']"
"['Start The Commotion', 'The Wiseguys']"
"['Love Me Or Hate Me (F**k You!!!!)', 'Lady Sovereign']"
"['Hymn For The Weekend', 'Coldplay']"
"['Cecilia And The Satellite', 'Andrew McMahon In The Wilderness']"
"['Remember My Name', 'House Of Lords']"
"['Soundtrack To Your Life', 'Ashley Parker Angel']"
"['How Would You Feel (Paean)', 'Ed Sheeran']"
"['Tonite', 'DJ Quik']"
"['Champagne Life', 'Ne-Yo']"
"['Take My Breath Away', 'Jessica Simpson']"
"['Money Can\'t Buy You Love (From ""Mo\' Money"")', 'Ralph Tresvant']"
"['Got To Have Your Love', 'Mantronix Featuring Wondress']"
"['Wannabe', 'Spice Girls']"
"['Levitate', 'Hadouken!']"
"['Sexual (Li Da Di)', 'Amber']"
"['Tide Is High', 'Angelina']"
"['Drops Of Jupiter (Tell Me)', 'Train']"
"['Locked Up', 'Akon Featuring Styles P.']"
"['Waiting For Love', 'Alias']"
"['Rolex', 'Ayo & Teo']"
"[""And I Am Telling You I'm Not Going"", 'Jennifer Hudson']"
"[""Don't"", 'Billy Currington']"
"['High And Dry', 'Radiohead']"
"['What Lovers Do', 'Maroon 5 Featuring SZA']"
"['How Low', 'Ludacris']"
"[""Roun' The Globe"", 'Nappy Roots']"
"['Tour', 'Capleton']"
"['Whatcha Say', 'Jason Derulo']"
"['What Goes Around...Comes Around', 'Justin Timberlake']"
"['Dig', 'Incubus']"
"['So Close', 'Daryl Hall John Oates']"
"['Heart', 'Neneh Cherry']"
"[""Takin' Shots"", 'Post Malone']"
"['Sometimes', 'Britney Spears']"
"['Warm It Up', 'Kris Kross']"
"['Rub You The Right Way', 'Johnny Gill']"
"['Drunk On Your Love', 'Brett Eldredge']"
"['Home Sweet Home', 'Carrie Underwood']"
"[""When I'm Gone"", 'Eminem']"
"['Stupid Girl', 'Garbage']"
"['Bodak Yellow (Money Moves)', 'Cardi B']"
"['Chasing The Sun', 'Hilary Duff']"
"['Beamer, Benz, Or Bentley', 'Lloyd Banks Featuring Juelz Santana']"
"['All For Love', 'Bryan Adams/Rod Stewart/Sting']"
"['No More Rain (In This Cloud)', 'Angie Stone']"
"['New Day', 'Patti LaBelle']"
"['The Chain Of Love', 'Clay Walker']"
"['Let Me Hold You', 'Bow Wow Featuring Omarion']"
"['Human', 'Christina Perri']"
"['Just The Way (Playas Play)', 'Alfonzo Hunter']"
"['Imma Star (Everywhere We Are)', 'Jeremih']"
"['In Walked Love', 'Expose']"
"['La Raza', 'Kid Frost']"
"['All I Ever Wanted', 'Kelly Clarkson']"
"['Speechless', 'Dan + Shay']"
"['The Truth', 'Tami Show']"
"['Ordinary Day', 'Vanessa Carlton']"
"[""It Wasn't Me"", 'Shaggy Featuring Ricardo ""RikRok"" Ducent']"
"['U.N.I.T.Y.', 'Queen Latifah']"
"['Big Time Sensuality', 'Bjork']"
"['100 Years', 'Five For Fighting']"
"[""I Won't Give Up On You"", 'TKA']"
"['Last Kiss', 'Pearl Jam']"
"['I Love Your Smile', 'Shanice']"
"[""I'm Just Here For The Music"", 'Paula Abdul']"
"['Bohemian Rhapsody', 'Glee Cast Featuring Jonathan Groff']"
"['Cruise', 'Florida Georgia Line Featuring Nelly']"
"[""Don't Say No, Just Say Yes"", 'Avant']"
"['Comedown', 'Bush']"
"['Days Go By', 'Dirty Vegas']"
"['Daylight', 'Maroon 5']"
"['Drive Me Wild', 'Sawyer Brown']"
"['Both', 'Gucci Mane Featuring Drake']"
"['Crying Out For Me', 'Mario']"
"['Home Alone', 'R. Kelly Featuring Keith Murray']"
"['Lady Marmalade', ""Christina Aguilera, Lil' Kim, Mya & P!nk""]"
"['Irreplaceable', 'Beyonce']"
"['Am I Wrong', 'Love Spit Love']"
"['Running Away', 'Hoobastank']"
"['Feels Like Heaven', 'Peter Cetera (Duet With Chaka Khan)']"
"['I Want You To Know', 'Zedd Featuring Selena Gomez']"
"['Romeo', 'Dino']"
"[""Don't Talk"", 'Jon B']"
"['Pop That', 'French Montana Featuring Rick Ross, Drake, Lil Wayne']"
"['Faithful', 'Drake Featuring Pimp C & dvsn']"
"['Give It 2 U', 'Robin Thicke Featuring Kendrick Lamar']"
"['Holland Road', 'Mumford & Sons']"
"[""Don't Wanna Lose You"", 'Lionel Richie']"
"['The Whole World', 'OutKast Featuring Killer Mike']"
"['Wind It Up', 'Gwen Stefani']"
"[""Haven't Met You Yet"", 'Michael Buble']"
"['KEKE', '6ix9ine, Fetty Wap & A Boogie Wit da Hoodie']"
"[""I'm From The Country"", 'Tracy Byrd']"
"['Austin', 'Blake Shelton']"
"[""Don't Say You Love Me"", 'M2M']"
"['Tennis Court', 'Lorde']"
"['Not Meant To Be', 'Theory Of A Deadman']"
"['Ordinary People', 'John Legend']"
"['Trade It All', 'Fabolous Featuring P. Diddy & Jagged Edge']"
"['Way Of Life', 'Lil Wayne']"
"['Get Ready For This', '2 Unlimited']"
"['Do U Wanna Roll (Dolittle Theme)', ""R.L., Snoop Dogg & Lil' Kim""]"
"['Good Girls Go Bad', 'Cobra Starship Featuring Leighton Meester']"
"[""If I Can't"", '50 Cent']"
"['(God Must Have Spent) A Little More Time On You', ""'N Sync""]"
"['Adventure Of A Lifetime', 'Coldplay']"
"['Gotta Have It', 'Jay Z Kanye West']"
"['Saved', 'Ty Dolla $ign Featuring E-40']"
"['Whiskey Lullaby', 'Brad Paisley Featuring Alison Krauss']"
"['You Get What You Give', 'New Radicals']"
"['Goodbye To My Homies', 'Master P Featuring Silkk The Shocker, Sons Of Funk And Mo B. Dick']"
"['Where My Girls At?', '702']"
"['www.memory', 'Alan Jackson']"
"['Inside Your Heaven', 'Carrie Underwood']"
"['We Can Get Down', 'Myron']"
"['In My Feelings', 'Drake']"
"['The Show Goes On', 'Lupe Fiasco']"
"['Head Over Boots', 'Jon Pardi']"
"['Proud Of The House We Built', 'Brooks & Dunn']"
"[""Can't Truss It"", 'Public Enemy']"
"['That Song In My Head', 'Julianne Hough']"
"['Real Real Real', 'Jesus Jones']"
"['Marvin Gaye', 'Charlie Puth Featuring Meghan Trainor']"
"['Buy Me A Boat', 'Chris Janson']"
"[""It's Time"", 'Imagine Dragons']"
"['No Roots', 'Alice Merton']"
"['We Must Be In Love', 'Pure Soul']"
"['All By Myself', 'Celine Dion']"
"['Stingy', 'Ginuwine']"
"['Sledgehammer', 'Fifth Harmony']"
"[""Don't Tell 'Em"", 'Jeremih Featuring YG']"
"['With You Tonight / Hasta El Amanecer', 'Nicky Jam']"
"['Wicked Game', 'Chris Isaak']"
"[""It's No Good"", 'Depeche Mode']"
"['My Favorite Girl', 'Dave Hollister']"
"['Love Lockdown', 'Kanye West']"
"['Love Me Harder', 'Ariana Grande & The Weeknd']"
"['Like You', 'Daddy Yankee']"
"['Swing Ya Rag', 'T.I. Featuring Swizz Beatz']"
"['All Night', 'Beyonce']"
"['Remind Me', 'Brad Paisley Duet With Carrie Underwood']"
"['L$D', 'A$AP Rocky']"
"['24 Hours', 'TeeFLii Featuring 2 Chainz']"
"['Burning House', 'Emily Ann Roberts']"
"['Emotional', 'Carl Thomas']"
"[""She's Not Just A Pretty Face"", 'Shania Twain']"
"['Throw Sum Mo', 'Rae Sremmurd Featuring Nicki Minaj & Young Thug']"
"['At The Club', 'Jacquees X Dej Loaf']"
"['Beep', 'The Pussycat Dolls Featuring will.i.am']"
"['Enchanted', 'Taylor Swift']"
"['Mouth', 'Merril Bainbridge']"
"['Caught Up', 'Usher']"
"['Insane In The Brain', 'Cypress Hill']"
"['Remember You', 'Wiz Khalifa Featuring The Weeknd']"
"['Yeah, Yeah, Yeah!', 'Voices']"
"['The One', 'The Chainsmokers']"
"['Sitting, Waiting, Wishing', 'Jack Johnson']"
"['What Am I Gonna Do', 'Tyrese']"
"['Red Lights', 'Tiesto']"
"['The Unforgiven', 'Metallica']"
"['God Gave Me You', 'Blake Shelton']"
"['Juju On That Beat (TZ Anthem)', 'Zay Hilfigerrr & Zayion McCall']"
"[""The Shoop Shoop Song (It's In His Kiss)"", 'Cher']"
"['Jealousy', 'The Adventures Of Stevie V']"
"['Renegades', 'X Ambassadors']"
"['American Girl', 'Bonnie McKee']"
"['You & Me', 'Marc E. Bassy Featuring G-Eazy']"
"['Throw Your Hands Up', 'L.V.']"
"[""She's Everything"", 'Brad Paisley']"
"['First Love', 'Jennifer Lopez']"
"['Move It Like This', 'K7']"
"['26 Cents', 'The Wilkinsons']"
"['Take A Walk', 'Passion Pit']"
"['What I Need To Do', 'Kenny Chesney']"
"['I Miss You', 'N2U']"
"['My Church', 'Maren Morris']"
"['Make It Back', 'Juice WRLD']"
"['Wu-Tang Forever', 'Drake']"
"['Finesse', 'Bruno Mars & Cardi B']"
"[""I Don't Mind"", 'Usher Featuring Juicy J']"
"['Boulevard Of Broken Dreams', 'Green Day']"
"['The Message', 'Sofia Shinas']"
"['Coming Of Age', 'Damn Yankees']"
"[""I'm A Believer"", 'Smash Mouth']"
"['Key To The Streets', 'YFN Lucci Featuring Migos & Trouble']"
"['Black Sweat', 'Prince']"
"['If I Lost You', 'Travis Tritt']"
"['When You Lie Next To Me', 'Kellie Coffey']"
"['If You Can Do Anything Else', 'George Strait']"
"['My Baby You', 'Marc Anthony']"
"['Drip', 'Cardi B Featuring Migos']"
"['Strip', 'Chris Brown Featuring Kevin K-MAC McCall']"
"['My Way', 'Calvin Harris']"
"['When The Night Comes', 'Joe Cocker']"
"['Perfect Illusion', 'Lady Gaga']"
"['Addicted', 'Saving Abel']"
"[""This Summer's Gonna Hurt..."", 'Maroon 5']"
"['If My Heart Had Wings', 'Faith Hill']"
"[""Hate (I Really Don't Like You)"", ""Plain White T's""]"
"['Meant To Be', 'Bebe Rexha & Florida Georgia Line']"
"['Amish Paradise', '""Weird Al"" Yankovic']"
"[""Girl, I've Been Hurt"", 'Snow']"
"['The Deeper The Love', 'Whitesnake']"
"['Rainy Days', 'General Public']"
"['Bleeding Love', 'Leona Lewis']"
