title,artist,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorusHit,sections,hit
Need U Bad,Jazmine Sullivan,62,0.529,0.659,7,-5.318,1,0.0629,0.0232,0,0.114,0.36,138.196,257427,4,75.70191,8,1
Leave The Night On,Sam Hunt,72,0.514,0.951,9,-3.813,1,0.0603,0.0951,0,0.349,0.838,171.96,192160,4,45.52618,6,1
Been There Done That (feat. Tove Styrke),NOTD,75,0.496,0.793,5,-6.122,1,0.297,0.00954,0,0.325,0.62,191.928,197113,4,22.63084,12,1
Riding With Private Malone,David Ball,42,0.648,0.527,4,-8.862,1,0.0515,0.405,0,0.0978,0.515,93.93,275053,4,26.65832,16,1
Bad Girl,Madonna,76,0.645,0.484,11,-11.233,0,0.0396,0.0211,3.88E-06,0.0495,0.52,146.897,323333,4,44.29664,12,1
I Hate Everything - 50 Number Ones Version,George Strait,72,0.584,0.545,10,-9.985,1,0.0279,0.343,0.000794,0.208,0.509,90.94,234750,4,44.30081,11,1
"Left, Right, Left",Drama,33,0.909,0.517,4,-11.018,1,0.165,0.00834,0,0.142,0.539,125.048,217427,4,42.47189,11,1
Pure Water (with Migos),Mustard,76,0.68,0.559,0,-5.545,1,0.129,0.172,0,0.318,0.137,202.006,194520,4,43.06174,9,1
Jar Of Hearts (Glee Cast Version),Glee Cast,74,0.295,0.402,5,-5.964,1,0.0307,0.854,0,0.469,0.16,73.283,246147,4,28.02471,12,1
Gonna Know We Were Here,Jason Aldean,76,0.447,0.896,9,-5.57,1,0.173,0.0339,0,0.882,0.533,173.852,224067,4,33.12107,6,1
I Will Wait,Mumford & Sons,79,0.48,0.756,1,-5.399,1,0.0333,0.00993,0.00704,0.312,0.447,131.127,276720,4,48.10774,12,1
I’ve Been Thinking About You - Radio Edit,Londonbeat,49,0.743,0.712,1,-6.012,1,0.0628,0.118,0,0.166,0.89,113.664,204728,4,18.93686,12,1
Ever The Same,Rob Thomas,62,0.435,0.729,1,-4.818,0,0.0307,0.0152,2.63E-05,0.11,0.524,188.017,256600,4,41.42314,10,1
These Are My People,Rodney Atkins,66,0.558,0.896,0,-3.687,1,0.0545,0.0316,0,0.528,0.63,90.064,213653,4,148.5727,6,1
Music Box,Eminem,92,0.462,0.719,4,-5.109,0,0.251,0.0136,0,0.224,0.427,81.66,304907,4,46.99297,12,1
