3,digitalluc,54,0.709,0.293,1,-11.215,1,0.241,0.875,0.0454,0.103,0.383,84.971,139521,4,80.65182,6,0
26,Paramore,77,0.561,0.286,2,-10.917,1,0.0266,0.852,3.56E-05,0.116,0.409,90.004,221720,4,54.52575,9,0
512,Lamb of God,64,0.351,0.969,1,-4.635,1,0.0993,1.76E-05,0.0686,0.0857,0.115,192.165,285027,4,48.3803,14,0
1977,Adam Young,43,0.489,0.561,8,-7.996,0,0.0339,0.00327,0.896,0.111,0.211,95.036,286707,4,55.55563,12,0
9/15/2000,Godspeed You! Black Emperor,45,0.251,0.439,8,-12.906,0,0.0483,0.441,0.895,0.0651,0.0496,109.254,987133,4,87.79556,24,0
101010,Sleeping At Last,72,0.549,0.376,5,-10.651,1,0.0448,0.639,0.000452,0.114,0.164,116.623,232267,4,34.82626,10,0
#2,Nils Frahm,68,0.608,0.442,10,-17.916,0,0.0434,0.5,0.87,0.0955,0.272,101.005,580016,3,50.26251,19,0
...And Their Eulogies Sang Me To Sleep.,The Agonist,42,0.289,0.993,6,-2.867,0,0.243,0.000435,0.334,0.409,0.0524,123.71,212373,3,150.61207,5,0
028 Hate,Chamber Of Malice,27,0.334,0.936,10,-4.067,0,0.151,0.000187,0.831,0.269,0.191,109.763,212160,4,35.1451,8,0
100 words,Prateek Kuhad,48,0.468,0.438,3,-14.575,1,0.0347,0.887,0.368,0.114,0.58,76.139,210420,4,42.51263,11,0
127 North,Caspian,46,0.169,0.499,0,-10.05,1,0.0315,0.00243,0.845,0.0979,0.0561,74.346,485293,4,66.76507,17,0
3AM (Pull Up) (feat. M?),Charli XCX,77,0.402,0.747,7,-4.313,1,0.104,0.0481,3.37E-05,0.14,0.624,187.709,239579,3,33.36125,10,0
3-Minute Workout!,DeStorm Power,41,0.678,0.784,11,-8.266,0,0.224,0.00626,0,0.132,0.455,99.959,172232,4,28.74091,7,0
4am,SPEECHLESS,55,0.569,0.415,3,-8.796,0,0.0289,0.923,0.00456,0.122,0.537,140.1,63697,4,53.61804,3,0
'74-'75,The Connells,49,0.53,0.59,11,-9.169,1,0.025,0.183,0.00227,0.0675,0.43,144.202,278973,4,40.36647,11,0
7th Inning Stretch,Cloudchord,54,0.69,0.555,7,-9.802,0,0.372,0.824,0.91,0.169,0.852,160.369,136500,4,38.2035,7,0
7th Inning Stretch,Cloudchord,54,0.69,0.555,7,-9.802,0,0.372,0.824,0.91,0.169,0.852,160.369,136500,4,38.2035,7,0
A Bird In The Hand,MIAOU,25,0.311,0.471,11,-9.745,1,0.0328,0.0121,0.605,0.0837,0.29,89.985,512427,4,49.75036,14,0
A Dream That Cannot Be,Amon Amarth feat. Doro Pesch,22,0.539,0.867,9,-5.096,0,0.044,1.95E-05,0.491,0.182,0.239,135.043,262813,4,29.36981,10,0
A Gallant Gentleman,We Lost The Sea,32,0.141,0.162,1,-13.21,1,0.0363,0.366,0.949,0.0927,0.128,69.761,364988,5,48.8694,13,0
A Gluttonous Abomination,Acrania,38,0.324,0.935,11,-4.44,0,0.151,0.000259,0.0951,0.453,0.16,124.575,382500,4,24.16849,18,0
A Horrendous Epiphany,Logistic Slaughter,3,0.329,0.961,11,-2.086,0,0.166,0.0045,0.707,0.138,0.295,106.157,168547,3,69.00658,5,0
A Horse with No Name,America,68,0.654,0.506,11,-17.18,0,0.0535,0.686,0.0155,0.155,0.831,123.179,252240,4,25.00071,11,0
A Lack Of Color,Death Cab for Cutie,68,0.642,0.339,3,-11.884,1,0.0291,0.81,0.000751,0.108,0.355,135.812,215933,4,78.16645,6,0
A Late Farewell,Dorena,16,0.479,0.376,9,-9.616,1,0.0297,0.014,0.874,0.0439,0.144,149.992,567293,3,39.78254,22,0
A Little Distance,Tristeza,34,0.426,0.52,4,-7.981,1,0.0395,0.17,0.86,0.142,0.306,124.082,354173,4,79.52056,9,0
A Movie Script Ending,Death Cab for Cutie,68,0.509,0.748,9,-7.778,1,0.028,0.0155,0.00692,0.0742,0.541,92.028,259480,4,70.15074,11,0
A Nightmare Incarnate,Ingested,37,0.222,0.983,8,-2.345,0,0.147,1.92E-05,0.0491,0.351,0.349,94.81,216973,3,34.63415,10,0
A Path of Scattered Thoughts,D-A-L,34,0.534,0.596,2,-8.108,0,0.239,0.606,7.67E-05,0.102,0.338,180.004,195000,4,64.44595,8,0
