('Leave The Night On', 'Sam Hunt') ,63
('Been There Done That (feat. Tove Styrke)', 'NOTD') ,7
('Riding With Private Malone', 'David Ball') ,89
('Bad Girl', 'Madonna') ,55
('I Hate Everything - 50 Number Ones Version', 'George Strait') ,237
('Left, Right, Left', 'Drama') ,53
('Pure Water (with Migos)', 'Mustard') ,1
('Jar Of Hearts (Glee Cast Version)', 'Glee Cast') ,249
('Gonna Know We Were Here', 'Jason Aldean') ,66
('I Will Wait', 'Mumford & Sons') ,31
('Ive Been Thinking About You - Radio Edit', 'Londonbeat') ,0
('Ever The Same', 'Rob Thomas') ,45
('These Are My People', 'Rodney Atkins') ,67
('Music Box', 'Eminem') ,86
('Cant Believe Its Over', 'Alan Friedman') ,168
('Sacral Chakra - Releasing Your Creative & Sexual Energies, a Guided Visualization', 'Goddess Reawakening') ,0
("Hey, Good Lookin' - Single Version", 'Hank Williams') ,249
('Never Let You Go - 2008 Version', 'Third Eye Blind') ,46
('All About Tonight', 'Blake Shelton') ,8
('Last Of A Dying Breed (co-starring Lil Wayne)', 'Ludacris') ,0
("We Be Burnin' (Recognize It)", 'Sean Paul') ,52
('Make It Hot (feat. Missy Elliott & Mocha)', 'Nicole') ,68
('Faithfully (Glee Cast Version)', 'Glee Cast') ,214
('Push It to the Limit', 'Corbin Bleu') ,55
('Rockabye (feat. Sean Paul & Anne-Marie)', 'Clean Bandit') ,6
('Love Runs Out', 'OneRepublic') ,45
('Save Up All Your Tears', 'Cher') ,56
('When Can I See You', 'Babyface') ,24
('Welcome to the Black Parade', 'My Chemical Romance') ,77
("Baby I Love Your Way (From 'Reality Bites')", 'Hollywood Session Group') ,227
('Right Now', 'Van Halen') ,45
('For You I Will', 'Aaron Tippin') ,34
('Later On', 'The Swon Brothers') ,49
("Ain't Leavin' without You", "j'san") ,95
('Friends', 'John Michael Montgomery') ,39
('143', 'Bobby Brackins') ,55
('Murder She Wrote', 'Chaka Demus & Pliers') ,72
('Beep', 'The Pussycat Dolls') ,67
