['Need U Bad', 'Jazmine Sullivan', 'spotify:track:0Ri0LzOMJmqi9HGZE5cRYV']
['Leave The Night On', 'Sam Hunt', 'spotify:track:3wx2kQWPn9p5UppQbNhPAk']
['Been There', 'Clint Black With Steve Wariner', 'spotify:track:0m0hFyrAqGKaVJ7D24Jozg']
['Riding With Private Malone', 'David Ball', 'spotify:track:4yym5ZJXwvg03d4kyhLVZO']
['Bad Girl', 'Madonna', 'spotify:track:2tySjBBWqam7oaBUZ26oNL']
['I Hate Everything', 'George Strait', 'spotify:track:6r4LyNgkR7DmwgKj8Hbe6r']
['Left, Right, Left', 'Drama', 'spotify:track:0vk5b6kj3QISHg4fpRPi6n']
['Pure Water', 'Mustard & Migos', 'spotify:track:63cd4JkwGgYJrbOizbfmsp']
['Jar Of Hearts', 'Glee Cast', 'spotify:track:6fdXZgik4Me0gyxRuxYoqi']
['Gonna Know We Were Here', 'Jason Aldean', 'spotify:track:0mMR63GfhjpxT02rIdq5Mz']
['I Will Wait', 'Mumford & Sons', 'spotify:track:0hm8rgOY17z7kQJlqGKbu7']
["I've Been Thinking About You", 'Londonbeat', 'spotify:track:6bnKiqeXIQjOpZZSy0qTg7']
['Ever The Same', 'Rob Thomas', 'spotify:track:02acUMylPHMjJ9miDc9b38']
['These Are My People', 'Rodney Atkins', 'spotify:track:5jFid6SUnYqohvNvNuZvIz']
['Music Box', 'Eminem', 'spotify:track:1PokNDiTBQZgXci6rn2BVE']
["Can't Believe It", 'T-Pain Featuring Lil Wayne', 'spotify:track:4C4hxNuy4wJr38oUCWqasE']
['Sexual', 'Goddess', 'spotify:track:39FgoYSPntDNk6vqbwKRKH']
["Hey Good Lookin'", 'Jimmy Buffett With Clint Black, Kenny Chesney, Alan Jackson, Toby Keith & George Strait', 'spotify:track:4v3tdzHwvCpGLmVPnhMCkH']
['Never Let You Go', 'Third Eye Blind', 'spotify:track:1sxUaLi0G2vB7dl4ogtCxH']
['All About Tonight', 'Blake Shelton', 'spotify:track:5cQIrML7iJEUsOCNsHqWlB']
Let's Make A Night To Remember by Bryan Adams is not found.
['Last Of A Dying Breed', 'Ludacris Co-Starring Lil Wayne', 'spotify:track:7bfeBFXgTwQ31hCkS2rcfB']
["We Be Burnin'", 'Sean Paul', 'spotify:track:4kOTDj4SiZPkW1p96WMDNv']
['Make It Hot', 'Nicole Featuring Missy "Misdemeanor" Elliott & Mocha', 'spotify:track:74nsOZqzZzyvFVvBy12I7Y']
['Faithfully', 'Glee Cast', 'spotify:track:7Fn84f1WeWabP3aFXW5TA8']
['Push It To The Limit', 'Corbin Bleu', 'spotify:track:3K01q0jtSNHeqx5gs97HH2']
['Rockabye', 'Clean Bandit Featuring Sean Paul & Anne-Marie', 'spotify:track:5knuzwU65gJK7IF5yJsuaW']
['Love Runs Out', 'OneRepublic', 'spotify:track:5BJSZocnCeSNeYMj3iVqM7']
['Save Up All Your Tears', 'Cher', 'spotify:track:6PlV2oZkDVq0dCDyDZqoTw']
['When Can I See You', 'Babyface', 'spotify:track:2zItQNJrVrTioXTXWiI2ed']
['Welcome To The Black Parade', 'My Chemical Romance', 'spotify:track:5wQnmLuC1W7ATsArWACrgW']
['Baby I Love Your Way (From "Reality Bites")', 'Big Mountain', 'spotify:track:7bpgaf8jnNcx1JZXiq0Yw1']
['Right Now', 'Van Halen', 'spotify:track:6N1sNzq3CArC1pMSaZTxaT']
['For You I Will', 'Aaron Tippin', 'spotify:track:0A9UuGGkuYnRy9JqMBSAWb']
['Later On', 'The Swon Brothers', 'spotify:track:7lG4154Md1Kw7BMg56Pt4s']
['Without You/Never Forget You', 'Mariah Carey', 'spotify:track:3LbbliB1ia5WfyFqwxF9pX']
['Friends', 'John Michael Montgomery', 'spotify:track:3cllg2r81NdWYVTNWbQKqQ']
['143', 'Bobby Brackins Featuring Ray J', 'spotify:track:4DdaOUTsCqz4cLK3z92oso']
['Murder She Wrote', 'Chaka Demus & Pliers', 'spotify:track:1HGyhNaRUFEDBiVLbvtbL6']
['Beep', 'Bobby V Featuring Yung Joc', 'spotify:track:5TXNLJ2EENAt3Tf9MX4kT2']
['I Met A Girl', 'William Michael Morgan', 'spotify:track:4WtkYdCG4n80h08Ep5SmDI']
['The Arms Of Orion', 'Prince With Sheena Easton', 'spotify:track:0YcUNHmnt35v7J7amKvgR4']
['Groove Thang', 'Zhane', 'spotify:track:5MiIyCJ1DYbWLdwWYzyNcJ']
['One Night At A Time', 'George Strait', 'spotify:track:0MPKiPO83oR1XoLWLMb7bD']
